Year,Month,Day,Hour,Minute,Timestamp,Demand
2020,1,2,19,0,2020-01-02 19:00:00,7277.218024978727
2020,1,2,19,30,2020-01-02 19:30:00,7274.212908041896
2020,1,2,20,0,2020-01-02 20:00:00,7156.575202894803
2020,1,2,20,30,2020-01-02 20:30:00,6966.62898375774
2020,1,2,21,0,2020-01-02 21:00:00,6764.469391401476
2020,1,2,21,30,2020-01-02 21:30:00,6580.008785563788
2020,1,2,22,0,2020-01-02 22:00:00,6401.956596788237
2020,1,2,22,30,2020-01-02 22:30:00,6272.125417866902
2020,1,2,23,0,2020-01-02 23:00:00,6100.973898662902
2020,1,2,23,30,2020-01-02 23:30:00,5892.729237233956
2020,1,3,0,0,2020-01-03 00:00:00,5735.8815165668075
2020,1,3,0,30,2020-01-03 00:30:00,5594.5512072101
2020,1,3,1,0,2020-01-03 01:00:00,5480.331661334376
2020,1,3,1,30,2020-01-03 01:30:00,5396.065349823616
2020,1,3,2,0,2020-01-03 02:00:00,5346.892324821648
2020,1,3,2,30,2020-01-03 02:30:00,5321.652248896404
2020,1,3,3,0,2020-01-03 03:00:00,5290.8447332801925
2020,1,3,3,30,2020-01-03 03:30:00,5276.207172808674
2020,1,3,4,0,2020-01-03 04:00:00,5305.175485239324
2020,1,3,4,30,2020-01-03 04:30:00,5312.3466391338925
2020,1,3,5,0,2020-01-03 05:00:00,5347.556452916286
2020,1,3,5,30,2020-01-03 05:30:00,5426.26019502836
2020,1,3,6,0,2020-01-03 06:00:00,5531.253124803439
2020,1,3,6,30,2020-01-03 06:30:00,5642.441694938866
2020,1,3,7,0,2020-01-03 07:00:00,5742.679371073069
2020,1,3,7,30,2020-01-03 07:30:00,5791.228907873867
2020,1,3,8,0,2020-01-03 08:00:00,5846.35739623244
2020,1,3,8,30,2020-01-03 08:30:00,5884.411501261965
2020,1,3,9,0,2020-01-03 09:00:00,5862.257337014424
2020,1,3,9,30,2020-01-03 09:30:00,5835.366754282329
2020,1,3,10,0,2020-01-03 10:00:00,5812.27796842966
2020,1,3,10,30,2020-01-03 10:30:00,5776.172805140764
2020,1,3,11,0,2020-01-03 11:00:00,5760.48646457634
2020,1,3,11,30,2020-01-03 11:30:00,5805.1511256266795
2020,1,3,12,0,2020-01-03 12:00:00,5844.746987908125
2020,1,3,12,30,2020-01-03 12:30:00,5928.138583355826
2020,1,3,13,0,2020-01-03 13:00:00,6011.702169076614
2020,1,3,13,30,2020-01-03 13:30:00,6088.519016472757
2020,1,3,14,0,2020-01-03 14:00:00,6208.554123366952
2020,1,3,14,30,2020-01-03 14:30:00,6342.088289693914
2020,1,3,15,0,2020-01-03 15:00:00,6431.324080614237
2020,1,3,15,30,2020-01-03 15:30:00,6559.080690578403
2020,1,3,16,0,2020-01-03 16:00:00,6741.304151084216
2020,1,3,16,30,2020-01-03 16:30:00,6897.724636377007
2020,1,3,17,0,2020-01-03 17:00:00,7004.388481497913
2020,1,3,17,30,2020-01-03 17:30:00,6997.5923659724385
2020,1,3,18,0,2020-01-03 18:00:00,6970.532712005865
2020,1,3,18,30,2020-01-03 18:30:00,7048.75414908243
2020,1,3,19,0,2020-01-03 19:00:00,7110.693340097879
2020,1,3,19,30,2020-01-03 19:30:00,7113.129857152118
2020,1,3,20,0,2020-01-03 20:00:00,6996.346046243668
2020,1,3,20,30,2020-01-03 20:30:00,6823.455185670939
2020,1,3,21,0,2020-01-03 21:00:00,6685.746552904244
2020,1,3,21,30,2020-01-03 21:30:00,6542.721057150511
2020,1,3,22,0,2020-01-03 22:00:00,6419.92402155511
2020,1,3,22,30,2020-01-03 22:30:00,6311.581206650156
2020,1,3,23,0,2020-01-03 23:00:00,6117.186892269978
2020,1,3,23,30,2020-01-03 23:30:00,5896.917427992443
2020,1,4,0,0,2020-01-04 00:00:00,5603.819711879421
2020,1,4,0,30,2020-01-04 00:30:00,5458.37472821378
2020,1,4,1,0,2020-01-04 01:00:00,5344.198793375532
2020,1,4,1,30,2020-01-04 01:30:00,5261.9121831698985
2020,1,4,2,0,2020-01-04 02:00:00,5205.723853716039
2020,1,4,2,30,2020-01-04 02:30:00,5174.994650701412
2020,1,4,3,0,2020-01-04 03:00:00,5151.447473646396
2020,1,4,3,30,2020-01-04 03:30:00,5136.384067764528
2020,1,4,4,0,2020-01-04 04:00:00,5142.186613998847
2020,1,4,4,30,2020-01-04 04:30:00,5128.379325182314
2020,1,4,5,0,2020-01-04 05:00:00,5115.442553000982
2020,1,4,5,30,2020-01-04 05:30:00,5109.50801289531
2020,1,4,6,0,2020-01-04 06:00:00,5104.522298085276
2020,1,4,6,30,2020-01-04 06:30:00,5119.214151141901
2020,1,4,7,0,2020-01-04 07:00:00,5154.708270854
2020,1,4,7,30,2020-01-04 07:30:00,5159.05687216729
2020,1,4,8,0,2020-01-04 08:00:00,5195.748032310713
2020,1,4,8,30,2020-01-04 08:30:00,5206.629150919802
2020,1,4,9,0,2020-01-04 09:00:00,5181.413046242831
2020,1,4,9,30,2020-01-04 09:30:00,5170.353365824571
2020,1,4,10,0,2020-01-04 10:00:00,5133.661957973875
2020,1,4,10,30,2020-01-04 10:30:00,5143.373094683617
2020,1,4,11,0,2020-01-04 11:00:00,5116.407272088391
2020,1,4,11,30,2020-01-04 11:30:00,5136.034284534613
2020,1,4,12,0,2020-01-04 12:00:00,5152.595805393808
2020,1,4,12,30,2020-01-04 12:30:00,5221.893346587116
2020,1,4,13,0,2020-01-04 13:00:00,5272.297691210156
2020,1,4,13,30,2020-01-04 13:30:00,5330.663754595944
2020,1,4,14,0,2020-01-04 14:00:00,5418.789357906539
2020,1,4,14,30,2020-01-04 14:30:00,5549.951914234578
2020,1,4,15,0,2020-01-04 15:00:00,5701.177425064118
2020,1,4,15,30,2020-01-04 15:30:00,5905.273606862351
2020,1,4,16,0,2020-01-04 16:00:00,6149.197877370224
2020,1,4,16,30,2020-01-04 16:30:00,6364.778308312276
2020,1,4,17,0,2020-01-04 17:00:00,6520.9181615310545
2020,1,4,17,30,2020-01-04 17:30:00,6591.68606534908
2020,1,4,18,0,2020-01-04 18:00:00,6653.105109465765
